temperature_c,humidity_pct,delta_temp,delta_humi,comfort_class,comfort_label
21.6,42.6,-1.0,3.5,1,COMFORT
26.7,40.0,0.0,0.0,1,COMFORT
22.6,21.5,0.10000000000000142,-0.3999999999999986,1,COMFORT
22.3,40.5,-0.09999999999999787,0.0,1,COMFORT
21.5,32.9,0.6999999999999993,3.5,3,HOT
38.0,70.0,1.5,-5.0,3,HOT
23.6,64.6,-0.29999999999999716,-2.3000000000000114,2,WARM_HUMID
31.4,36.2,-0.20000000000000284,0.0,2,WARM_HUMID
22.9,23.9,1.0,-5.0,0,COLD
22.4,34.5,0.0,3.1999999999999993,3,HOT
28.7,61.5,-0.9000000000000021,-5.0,0,COLD
25.3,55.0,0.0,0.0,2,WARM_HUMID
19.8,54.2,1.5,-1.6999999999999957,1,COMFORT
21.0,38.9,-0.6999999999999993,5.0,2,WARM_HUMID
22.5,36.4,1.5,-5.0,2,WARM_HUMID
23.8,22.8,0.40000000000000213,-1.1999999999999993,2,WARM_HUMID
24.4,60.1,0.0,0.0,3,HOT
27.0,54.1,0.3000000000000007,-0.3999999999999986,2,WARM_HUMID
27.1,36.0,-0.09999999999999787,0.0,3,HOT
28.0,70.0,0.0,0.0,1,COMFORT
19.9,37.2,-1.4000000000000021,-0.3999999999999986,1,COMFORT
30.6,73.0,0.6000000000000014,0.0,3,HOT
23.8,32.2,1.5,-2.5,1,COMFORT
20.8,26.2,0.0,-0.1999999999999993,2,WARM_HUMID
22.4,55.2,1.5,-5.0,2,WARM_HUMID
20.6,80.0,0.8000000000000007,5.0,0,COLD
21.6,62.7,1.5,-2.299999999999997,0,COLD
23.3,47.3,-0.1999999999999993,1.1999999999999957,3,HOT
19.9,52.8,-1.5,5.0,1,COMFORT
21.9,46.0,-0.6000000000000014,2.0,0,COLD
24.6,35.3,0.5,-3.200000000000003,2,WARM_HUMID
25.5,41.0,0.0,0.0,1,COMFORT
22.9,29.2,-0.3000000000000007,5.0,0,COLD
31.6,27.3,0.10000000000000142,0.5,1,COMFORT
22.8,42.9,0.0,-5.0,0,COLD
24.1,55.1,1.5,-5.0,1,COMFORT
26.6,64.8,0.5,-2.4000000000000057,1,COMFORT
26.0,65.0,0.0,0.0,0,COLD
25.0,48.5,0.0,0.0,1,COMFORT
19.3,35.9,0.3000000000000007,-0.8999999999999986,1,COMFORT
24.3,62.9,-0.09999999999999787,0.10000000000000142,1,COMFORT
20.4,27.6,-0.7000000000000028,-5.0,1,COMFORT
27.3,49.0,0.0,0.0,3,HOT
21.9,46.0,0.7999999999999972,-3.0,0,COLD
32.9,52.5,1.1999999999999993,-4.600000000000001,2,WARM_HUMID
28.8,41.6,0.0,0.0,2,WARM_HUMID
29.2,75.8,0.0,0.0,1,COMFORT
30.0,61.2,0.1999999999999993,0.0,3,HOT
26.5,38.0,0.0,0.0,0,COLD
22.7,36.0,0.0,0.0,1,COMFORT
22.8,40.3,-1.1999999999999993,3.799999999999997,3,HOT
26.4,44.2,0.09999999999999787,-2.0999999999999943,2,WARM_HUMID
21.2,29.6,0.1999999999999993,-5.0,2,WARM_HUMID
22.1,39.3,1.5,-5.0,0,COLD
23.9,49.0,0.29999999999999716,-0.6000000000000014,1,COMFORT
31.7,42.2,-0.1999999999999993,-3.5999999999999943,3,HOT
30.2,14.8,-0.10000000000000142,0.0,3,HOT
28.2,37.9,-0.10000000000000142,0.10000000000000142,0,COLD
29.0,28.0,1.5,4.199999999999999,1,COMFORT
27.3,73.0,1.5,5.0,2,WARM_HUMID
26.0,36.4,1.5,5.0,3,HOT
20.9,46.3,-1.0,-1.7000000000000028,2,WARM_HUMID
23.5,43.6,-1.5,4.0,0,COLD
23.2,13.7,0.0,0.0,0,COLD
25.2,50.6,0.0,-0.7999999999999972,1,COMFORT
25.9,51.0,-0.10000000000000142,1.0,0,COLD
23.3,50.9,0.3000000000000007,-1.2000000000000028,0,COLD
24.7,56.2,0.0,0.0,1,COMFORT
26.5,14.1,1.5,-5.0,1,COMFORT
19.4,65.8,0.0,0.0,0,COLD
26.3,57.8,0.10000000000000142,-0.30000000000000426,2,WARM_HUMID
26.9,84.5,0.5999999999999979,5.0,1,COMFORT
24.5,22.3,-0.1999999999999993,-2.6999999999999993,1,COMFORT
23.0,29.7,0.0,0.0,1,COMFORT
32.4,38.4,0.3999999999999986,-3.200000000000003,3,HOT
35.6,37.0,0.30000000000000426,-2.0,3,HOT
22.3,45.0,0.6999999999999993,0.20000000000000284,1,COMFORT
22.4,64.7,-0.5,2.200000000000003,0,COLD
30.1,63.0,0.0,0.0,1,COMFORT
29.5,31.0,1.5,-5.0,1,COMFORT
22.1,46.1,0.0,-0.10000000000000142,1,COMFORT
21.5,36.1,1.5,-0.5,1,COMFORT
23.0,42.0,-0.1999999999999993,0.0,2,WARM_HUMID
23.0,29.2,1.0,5.0,1,COMFORT
22.9,64.5,0.09999999999999787,-0.9000000000000057,0,COLD
30.4,70.3,0.5,-2.4000000000000057,1,COMFORT
19.0,40.9,-1.1000000000000014,1.8999999999999986,0,COLD
22.3,25.0,0.0,-4.300000000000001,1,COMFORT
23.7,62.9,0.0,0.0,2,WARM_HUMID
16.3,65.0,0.1999999999999993,0.0,1,COMFORT
25.6,76.4,0.5,2.6000000000000085,0,COLD
26.2,50.6,-0.1999999999999993,-0.6000000000000014,2,WARM_HUMID
29.5,68.2,0.0,0.0,2,WARM_HUMID
19.4,48.1,0.0,0.0,1,COMFORT
22.3,22.5,0.1999999999999993,-3.8000000000000007,1,COMFORT
22.6,38.2,-0.1999999999999993,-5.0,1,COMFORT
25.3,55.0,0.0,0.0,0,COLD
26.5,57.5,0.0,0.0,2,WARM_HUMID
23.5,51.3,0.1999999999999993,-0.7000000000000028,1,COMFORT
12.2,51.3,0.0,1.5,0,COLD
21.2,33.3,0.5,3.9999999999999964,1,COMFORT
23.0,81.7,0.0,0.0,3,HOT
16.8,60.1,-1.5,2.200000000000003,1,COMFORT
20.3,22.3,-1.0,5.0,1,COMFORT
32.0,61.9,0.0,0.0,2,WARM_HUMID
30.9,68.5,-0.10000000000000142,1.5999999999999943,1,COMFORT
28.1,79.2,0.0,0.0,1,COMFORT
26.4,42.6,0.09999999999999787,0.7000000000000028,1,COMFORT
28.0,35.0,1.0,1.0,3,HOT
25.1,46.4,0.0,0.0,1,COMFORT
25.4,59.3,0.09999999999999787,-0.30000000000000426,2,WARM_HUMID
22.9,43.2,-1.5,1.8000000000000043,1,COMFORT
23.0,33.3,1.0,1.1999999999999957,0,COLD
19.3,48.3,0.5,-1.0,1,COMFORT
18.5,53.5,0.8000000000000007,3.0,1,COMFORT
20.3,68.2,0.0,0.0,0,COLD
24.4,65.6,0.29999999999999716,-5.0,1,COMFORT
23.0,44.8,0.5,-1.7000000000000028,2,WARM_HUMID
30.7,45.1,0.1999999999999993,-4.699999999999996,1,COMFORT
19.8,56.0,0.0,0.0,0,COLD
23.0,29.0,0.0,5.0,1,COMFORT
21.2,55.7,-1.3000000000000007,1.5,0,COLD
19.9,40.4,0.6999999999999993,-2.200000000000003,0,COLD
22.4,55.6,-0.40000000000000213,0.0,1,COMFORT
27.0,19.1,-0.3000000000000007,5.0,1,COMFORT
26.7,61.0,0.0,0.0,3,HOT
